list,item,adjective,context,context_sentence,target_sentence,correct,pictures,condition,target_picture,control_picture,neither_picture,condition_randomizer,Picture_1,Picture_2,Picture_3
1,1,empty,strict,Mario wants to drink juice so he needs to get a glass from the kitchen cabinet.,“show me the empty glass”,target,precise,a,1_glass_4_4.jpg,1_glass_0_4.jpg,cross.jpg,critical,full glass,red cross,empty glass
2,1,empty,loose,Mario wants to drink more juice so he gets his glass from the dinner table.,“show me the empty glass”,target,imprecise,b,1_glass_3_4.jpg,1_glass_0_4.jpg,cross.jpg,critical,full glass,red cross,almost empty glass
3,1,empty,strict,Mario wants to drink juice so he needs to get a glass from the kitchen cabinet.,“show me the empty glass”,neither,control,c,1_glass_control.jpg,1_glass_0_4.jpg,cross.jpg,critical,full glass,red cross,water bottle
4,1,empty,loose,Mario wants to drink more juice so he gets his glass from the dinner table.,“show me the empty glass”,target,precise,d,1_glass_4_4.jpg,1_glass_0_4.jpg,cross.jpg,critical,full glass,red cross,empty glass
5,1,empty,strict,Mario wants to drink juice so he needs to get a glass from the kitchen cabinet.,“show me the empty glass”,neither,imprecise,e,1_glass_3_4.jpg,1_glass_0_4.jpg,cross.jpg,critical,full glass,red cross,almost empty glass
6,1,empty,loose,Mario wants to drink more juice so he gets his glass from the dinner table.,“show me the empty glass”,neither,control,f,1_glass_control.jpg,1_glass_0_4.jpg,cross.jpg,critical,full glass,red cross,water bottle
1,2,empty,loose,Cate kept an old jam jar in the kitchen and will throw it in the trash in the evening. ,“Show me the empty jam jar”,neither,control,f,2_jar_control.jpg,2_jar_0_4.jpg,cross.jpg,critical,full jar,red cross,glass bottle
2,2,empty,strict,Cate kept an old jam jar in the kitchen and will use it to store rice in the future.,“Show me the empty jam jar”,target,precise,a,2_jar_4_4.jpg,2_jar_0_4.jpg,cross.jpg,critical,full jar,red cross,empty jar
3,2,empty,loose,Cate kept an old jam jar in the kitchen and will throw it in the trash in the evening. ,“Show me the empty jam jar”,target,imprecise,b,2_jar_3_4.jpg,2_jar_0_4.jpg,cross.jpg,critical,full jar,red cross,almost empty jar
4,2,empty,strict,Cate kept an old jam jar in the kitchen and will use it to store rice in the future.,“Show me the empty jam jar”,neither,control,c,2_jar_control.jpg,2_jar_0_4.jpg,cross.jpg,critical,full jar,red cross,glass bottle
5,2,empty,loose,Cate kept an old jam jar in the kitchen and will throw it in the trash in the evening. ,“Show me the empty jam jar”,target,precise,d,2_jar_4_4.jpg,2_jar_0_4.jpg,cross.jpg,critical,full jar,red cross,empty jar
